Sr.No,Date,Invoice No,Challan No,Challan Date,P.O. Date,Product Name,Qty,Unit Price,Amount,Discount,Total Value,Packing & Forwarding,Freight,CGST(9%),SGST(9%),GST Tax Total,Sub Total,Rounded Off,Total
1,3-Jan-17,ARH/J117/100,100,3-Jan-17,12-Dec-16,Side Mount Level Switch,1,6000,6000,10%,5400,,,486,486,972,6372,,6372
2,5-Jan-17,ARH/J117/101,101,5-Jan-17,12-Dec-16,Tubuler Type Level Gauge,5,2900,14500,,14500,100,25,1305,1305,2610,17235,,17235
3,5-Jan-17,ARH/J117/102,102,5-Jan-17,25-Dec-16,Tubuler Type Level Gauge,2,2900,5800,5%,5510,,,495.9,495.9,991.8,6501.8,0.8,6501
4,6-Jan-17,ARH/J117/103,103,6-Jan-17,25-Dec-16,Conductivity Level Switch,1,4250,4250,,4250,,60,382.5,382.5,765,5075,,5075
5,10-Jan-17,ARH/J117/104,104,10-Jan-17,25-Dec-16,Cable Float Level Switch,2,10053,20106,,20106,150,,1809.54,1809.54,3619.08,23875.08,0.08,23875
6,11-Jan-17,ARH/J117/105,105,11-Jan-17,25-Dec-16,By-Pass Level Indicator,3,3500,10500,,10500,,,945,945,1890,12390,,12390
7,15-Jan-17,ARH/J117/106,106,15-Jan-17,23-Dec-16,Miniature Level Switch(SS),2,1502,3004,15%,2553.4,,,229.806,229.806,459.612,3013.012,0.012,3013
8,16-Jan-17,ARH/J117/107,107,16-Jan-17,10-Dec-16,Tubuler Type Level Gauge,1,2900,2900,,2900,100,55,261,261,522,3577,,3577
9,18-Jan-17,ARH/J117/108,108,18-Jan-17,2-Jan-17,By-Pass Level Indicator,5,3500,17500,,17500,,,1575,1575,3150,20650,,20650
10,18-Jan-17,ARH/J117/109,109,18-Jan-17,4-Jan-17,Float And Board Level Indicator,1,3520,3520,,3520,,25,316.8,316.8,633.6,4178.6,0.6,4178
11,18-Jan-17,ARH/J117/110,110,18-Jan-17,1-Dec-16,Tubuler Type Level Gauge,1,2900,2900,,2900,,,261,261,522,3422,,3422
